"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
100,"NCT01904916","CPCT-05 Biopsy Protocol Patient Selection",,"Terminated","No Results Available","Solid Tumors|Metastatic Disease","Procedure: Histological biopsy procedure","Percentage of screened patients allocated to trials based upon outcome of genetic screening effort.|Number and nature of (serious) adverse events of the performed histological biopsies.|Number of samples stored for future related research.|Number of samples with an adequate microRNA, (phospho)proteomic profiles and organoid cultures that allows biomarker discovery efforts. These profiles will be deposited in the CPCT database.","P.O. Witteveen|The Netherlands Cancer Institute|Erasmus Medical Center|UMC Utrecht","All","18 Years and older   (Adult, Older Adult)","Not Applicable","195","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Other","NL.45677.041.13","January 2014","January 2016","March 2017","July 22, 2013",,"March 9, 2018","Antoni van Leeuwenhoek Ziekenhuis, Amsterdam, Netherlands|Erasmus Medical Center, Rotterdam, Netherlands|University Medical Center Utrecht, Utrecht, Netherlands",,"https://ClinicalTrials.gov/show/NCT01904916"
101,"NCT04723316","Tumour Characterisation to Guide Experimental Targeted Therapy - National",,"Recruiting","No Results Available","Cancer",,"To determine the number of patients matched to a trial of an experimental therapeutic agent based on molecular findings from ctDNA or tumour|Number of patients and cancer types with successful result obtained from ctDNA.|Turnaround times from date of patient consent to date of genomic tumour profiling report generation.|Number and range of molecular alterations found in blood (and/or tumour) of cancer patients referred to Experimental Cancer Medicine Centres.|Overall response rates of patients who commence on a trial of an experimental therapeutic agent (matched or unmatched) on the basis of molecular findings in this study).|Progression-free survival of patients who commence on a trial of an experimental therapeutic agent (matched or unmatched on the basis of molecular findings in this study).|Overall survival of patients who commence on a trial of an experimental therapeutic agent (matched or unmatched on the basis of molecular findings in this study).","The Christie NHS Foundation Trust","All","16 Years and older   (Child, Adult, Older Adult)",,"6000","Other","Observational","Observational Model: Other|Time Perspective: Prospective","CFTSp191","June 30, 2021","January 30, 2026","January 30, 2028","January 25, 2021",,"August 24, 2022","Queen's University Belfast, Belfast, United Kingdom|University Hospitals Birmingham NHS Foundation Trust, Birmingham, United Kingdom|Cambridge University Hospitals NHS Foundation Trust, Cambridge, United Kingdom|Cardiff University and Velindre Cancer Centre, Cardiff, United Kingdom|Western General Hospital Edinburgh Cancer Centre, Edinburgh, United Kingdom|Beatson West of Scotland Cancer Centre, Glasgow, United Kingdom|St.James's University Hospital, Leeds, United Kingdom|Leicester Cancer Research Centre, Leicester, United Kingdom|ICR & The Royal Marsden, London Borough of Sutton, United Kingdom|Royal Free Hospital, London, United Kingdom|Kings Health Partners, London, United Kingdom|Imperial College London, London, United Kingdom|UCL Cancer Institute, London, United Kingdom|The Christie NHS Foundation Trust, Manchester, United Kingdom|The Newcastle Upon Tyne NHS Foundation Trust, Newcastle, United Kingdom|Oxford University Hospitals NHS Foundation Trust, Oxford, United Kingdom|Royal Preston Hospital, Preston, United Kingdom|Sheffield University Hospitals NHS Foundation Trust, Sheffield, United Kingdom|University Hospitals Southampton NHS Foundation Trust, Southampton, United Kingdom|The Clatterbridge Cancer Centre NHS Foundation Trust, Wirral, United Kingdom",,"https://ClinicalTrials.gov/show/NCT04723316"
102,"NCT05251805","The Safety and Feasibility of Costal Bone Marrow Aspiration During Thoracic Surgery",,"Not yet recruiting","No Results Available","Non Small Cell Lung Cancer","Procedure: Blood, bone marrow and lung tumor tissue collection","The occurrence of adverse events following costal bone marrow aspiration classified by Calvien Dindo|Measurement of the amount of HPSC's that can be obtained from costal bone marrow","Universitair Ziekenhuis Brussel","All","18 Years and older   (Adult, Older Adult)","Not Applicable","10","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","UZB-DVH-2022-01","April 1, 2022","August 31, 2022","December 31, 2022","February 23, 2022",,"February 23, 2022",,,"https://ClinicalTrials.gov/show/NCT05251805"
103,"NCT00646022","Natural History of Familial Carcinoid Tumor",,"Recruiting","No Results Available","Carcinoid","Drug: [18F]-DOPA","Study the natural history of familial carcinoid tumors|Compare the sensitivity and specificity of various imaging modalities: computed tomography (CT) with IV contrast and oral Volumen, 18F-DOPA PET/CT scan, [68Ga]DOTATATE PET/CT scan and endoscopic modalities for diagnosing and following carcinoid ...|Sequester DNA from peripheral blood for genotyping (including sequencing) with the intention of localizing a susceptibility gene/s responsible for the familial occurrence of the disease|Collect tumor specimens for histologic evaluation, culturing of intestinal organoids, and genotyping (including DNA and RNA sequencing)|Screen for occult disease and determine whether early detection affects the natural history of the disease","National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)|National Institutes of Health Clinical Center (CC)","All","18 Years and older   (Adult, Older Adult)",,"1600","NIH","Observational","Observational Model: Family-Based|Time Perspective: Prospective","080098|08-DK-0098","August 25, 2008",,,"March 28, 2008",,"February 21, 2023","National Institutes of Health Clinical Center, Bethesda, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT00646022"
104,"NCT04896684","Chronic Intestinal Pathologies Analytical Cohort at TouLouse","CAPITOL","Recruiting","No Results Available","Inflammatory Bowel Diseases|Colon Cancer","Biological: blood and intestinal biopsy sampling","Biological collection associated with clinical data|Identify new potential therapeutic molecules|Optimize treatment success rates for IBD","University Hospital, Toulouse","All","18 Years to 99 Years   (Adult, Older Adult)",,"300","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","RC31/21/0038","April 29, 2021","January 3, 2023","April 12, 2023","May 21, 2021",,"November 16, 2022","Rangueil University Hospital, Toulouse, France",,"https://ClinicalTrials.gov/show/NCT04896684"
105,"NCT05432518","GBM Personalized Trial",,"Not yet recruiting","No Results Available","Glioblastoma|Recurrent Disease|Recurrent Glioblastoma","Drug: Afatinib|Drug: Dasatinib|Drug: Palbociclib|Drug: Everolimus|Drug: Olaparib","Success rate of personalized GBM treatment based on molecular characterization of recurrent tumor|Overall survival (OS)|Progression free survival (PFS)|Quality of Life (QoL) EORTC QLQ-C30|Quality of Life (QoL) EORTC QLQ BN-20","AHS Cancer Control Alberta","All","18 Years and older   (Adult, Older Adult)","Early Phase 1","10","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","GBM-2022","June 1, 2023","December 1, 2027","December 1, 2027","June 27, 2022",,"February 2, 2023","Tom Baker Cancer Centre, Calgary, Alberta, Canada",,"https://ClinicalTrials.gov/show/NCT05432518"
106,"NCT05518110","PaTcH Study: A Phase 2 Study of Trametinib and Hydroxychloroquine in Patients With Metastatic Refractory Pancreatic Cancer","PaTcH","Not yet recruiting","No Results Available","Pancreatic Cancer","Drug: Trametinib|Drug: Hydroxychloroquine","Patients free of disease progression|Tumour Response Rate|Duration of Response|Overall Survival|Safety and tolerability","Cancer Trials Ireland|Novartis","All","18 Years and older   (Adult, Older Adult)","Phase 2","22","Other|Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CTRIAL-IE 20-27|2021-006276-16","January 31, 2023","July 15, 2024","April 15, 2025","August 26, 2022",,"November 25, 2022","Mater Misericordiae University Hospital, Dublin, Ireland|St Vincent's University Hospital, Dublin, Ireland",,"https://ClinicalTrials.gov/show/NCT05518110"
107,"NCT05412706","Niraparib Maintenance Treatment in mCRC With a Partial o Complete Response After Oxaliplatin-based Induction Therapy","Bohème","Not yet recruiting","No Results Available","Metastatic Colorectal Cancer","Drug: Niraparib","Progression-Free Survival 1|Progression-Free Survival (2) after re-introduction of first-line treatment combination|Overall Survival|Objective Response Rate|Incidence of Treatment-Emergent Adverse Events","Ospedale Policlinico San Martino|CRO ""Centro Clinical Trials"" IRCCS Ospedale Policlinico San Martino|Laboratory Molecular Oncology Candiolo Cancer Institute IRCCS - Candiolo (Torino)","All","18 Years and older   (Adult, Older Adult)","Phase 2","46","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","Bohème","September 1, 2022","September 1, 2027","September 1, 2028","June 9, 2022",,"June 9, 2022",,,"https://ClinicalTrials.gov/show/NCT05412706"
108,"NCT05473923","PTCs-based Precision Treatment Strategy on Recurrent High-grade Gliomas",,"Recruiting","No Results Available","Recurrent High Grade Glioma","Drug: Receiving chemotherapeutic or targeted drugs recommended by molecular tumor board.","The percentage of patients who accomplish the recommended regimen for at least 1 course.|Incidence of Treatment-Emergent Adverse Events (AEs)|Ratio of 6 months overall survival (OS)|Ratio of 12months overall survival (OS)|Progression-free survival (PFS)|Overall survival (OS)","Beijing Tiantan Hospital|Beijing GeneX Health Technology Co., Ltd","All","18 Years to 75 Years   (Adult, Older Adult)","Early Phase 1","30","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","KY2022-069-02","August 12, 2022","August 10, 2024","December 31, 2024","July 26, 2022",,"February 15, 2023","Beijing Tiantan Hospital, Capital Medical University, Beijing, Beijing, China",,"https://ClinicalTrials.gov/show/NCT05473923"
109,"NCT03146962","High Dose Vitamin C Intravenous Infusion in Patients With Resectable or Metastatic Solid Tumor Malignancies",,"Recruiting","No Results Available","Colorectal Cancer|Pancreatic Cancer|Lung Cancer","Drug: Vitamin C","Change in antitumor activity measured by pathologic response based on tumor regression grading in cohort A patients.|3-month disease control rate (DCR) will be evaluated using RECIST v 1.1 in cohort B patients.|Maximal tolerated dose of high dose vitamin C in combination with Y90 radioembolization|Progression-free survival (PFS)|Objective response rate (ORR)|Assessment of pharmacokinetics of high dose vitamin C plasma levels concentrations|Safety of high dose vitamin C administration using CTCAE 4.03.","Weill Medical College of Cornell University|Stand Up To Cancer","All","18 Years and older   (Adult, Older Adult)","Phase 2","78","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","1610017688","March 29, 2017","June 2023","June 2023","May 10, 2017",,"October 4, 2022","New York-Presbyterian Brooklyn Methodist Hospital, Brooklyn, New York, United States|Weill Cornell Medical College, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT03146962"
110,"NCT05537844","Longitudinal Sample Collection to Investigate Adaptation and Evolution of Ovarian High-grade Serous Carcinoma","BriTROC-2","Recruiting","No Results Available","Ovarian Cancer|High Grade Serous Carcinoma|Carcinosarcoma, Ovarian|Fallopian Tube Cancer|Primary Peritoneal Carcinoma|BRCA1 Mutation|BRCA2 Mutation",,"Tumour Biopsies (to be collected from 250 patients)|Whole Blood Samples for germline DNA isolation|Plasma Blood Samples (to be collected for storage for future analyses)|Ascites/Peritoneal Washings (where possible from diagnosis and relapse)","Liz-Anne Lewsley|Ovarian Cancer Action|Cancer Research UK, Glasgow","Female","16 Years and older   (Child, Adult, Older Adult)",,"250","Other","Observational","Observational Model: Case-Only|Time Perspective: Prospective","BriTROC2-2019","October 27, 2021","October 27, 2024","April 27, 2025","September 13, 2022",,"September 23, 2022","Bristol Haematology & Oncology Centre, Bristol, United Kingdom|Addenbrookes Hospital, Cambridge, United Kingdom|Western General Hospital, Edinburgh, United Kingdom|The Beatson West of Scotland Cancer Centre, Glasgow, United Kingdom|St Bartholomew's Hospital, London, United Kingdom|University College London Hospital, London, United Kingdom|Royal Marsden Hospital NHS Trust, London, United Kingdom|Hammersmith Hospital, London, United Kingdom|St Mary's Hospital, Manchester, United Kingdom|The Christie Hospital NHS Trust, Manchester, United Kingdom|Mount Vernon Cancer Centre, Northwood, United Kingdom",,"https://ClinicalTrials.gov/show/NCT05537844"
111,"NCT04531696","UZ/KU Leuven Program for Post-mortem Tissue Donation to Enhance Research","UPTIDER","Recruiting","No Results Available","Breast Cancer|Hereditary Diseases","Procedure: Blood draw|Procedure: Post-mortem tissue collection","Percentage of patients consenting to participate in the pilot phase|Median time elapsed between moment of death and start of the autopsy|Median time elapsed between collection of first and last sample|Percentage of metastatic organs sampled|Percentage of samples with sufficient quality of DNA extracted|Percentage of samples with sufficient quality of RNA extracted|Concordance between TILs and clinical response to treatment|Rate of T cell exhaustion|Number of mutations in each tumor lesion|Type of mutations in each tumor lesion|Percentage of Tumour Infiltrating Lymphocytes (TILs)","Universitaire Ziekenhuizen KU Leuven|KU Leuven|Universiteit Antwerpen","All","18 Years and older   (Adult, Older Adult)","Not Applicable","100","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","S64410","November 30, 2020","September 2035","September 2035","August 28, 2020",,"December 5, 2022","UZ Leuven, Leuven, Belgium",,"https://ClinicalTrials.gov/show/NCT04531696"
112,"NCT04526587","Biomarkers and Clinical Features of Metastatic Breast Cancer in Patients Treated With CDK4/6 Inhibitors",,"Recruiting","No Results Available","Anatomic Stage IV Breast Cancer AJCC v8|Metastatic Breast Carcinoma|Prognostic Stage IV Breast Cancer AJCC v8","Other: Cytology Specimen Collection Procedure|Other: Diagnostic Laboratory Biomarker Analysis|Other: Medical Chart Review","Collection of clinical characteristics|Overall survival on ciclib|Progression-free survival on ciclib|Progression-free survival on subsequent therapies|Site of the metastatic disease and time to progression|Incidence of treatment related toxicities|Genetic variance of genes associated with ciclib metabolism|Quantitative biomarker expressions|Development of patient-derived models from resistant disease|Socio-economic features related to the use of ciclibs|Clinical course of CDK4/6 inhibitor treated patients in the ""real-world"" setting","Roswell Park Cancer Institute","All","18 Years and older   (Adult, Older Adult)",,"300","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","I 571719|NCI-2020-05682","July 3, 2020","July 3, 2025","July 3, 2025","August 26, 2020",,"May 9, 2022","Roswell Park Cancer Institute, Buffalo, New York, United States",,"https://ClinicalTrials.gov/show/NCT04526587"
113,"NCT02756130","Birinapant and Carboplatin in Treating Patients With Recurrent High Grade Ovarian, Fallopian Tube, or Primary Peritoneal Cancer",,"Withdrawn","No Results Available","High Grade Fallopian Tube Serous Adenocarcinoma|High Grade Ovarian Serous Adenocarcinoma|Primary Peritoneal High Grade Serous Adenocarcinoma|Recurrent Fallopian Tube Carcinoma|Recurrent Ovarian Carcinoma|Recurrent Primary Peritoneal Carcinoma","Drug: Birinapant|Drug: Carboplatin|Other: Laboratory Biomarker Analysis|Other: Pharmacological Study","Change in percentage of cancer initiating cells|Pharmacodynamic analysis of cellular inhibitor of apoptosis (cIAP) protein|Progression free survival (PFS) assessed using imaging (multiparametric magnetic resonance imaging [MRI] (primary modality of imaging) of computed tomography (CT) and the Response Evaluation Criteria in Solid Tumors (RECIST) 1.1 criteria","Jonsson Comprehensive Cancer Center|Alpha Stem Cell Clinic (ASCC)|California Institute for Regenerative Medicine (CIRM)|TetraLogic Pharmaceuticals","Female","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","0","Other|Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","16-000746|NCI-2016-00596|GODL001","August 1, 2018","February 1, 2020","February 1, 2021","April 29, 2016",,"July 24, 2020","UCLA / Jonsson Comprehensive Cancer Center, Los Angeles, California, United States",,"https://ClinicalTrials.gov/show/NCT02756130"
114,"NCT04821219","Personalized Management of Pancreatic Adenocarcinoma Using Patient-Derived Tumoroids",,"Withdrawn","No Results Available","Pancreas Adenocarcinoma","Other: Treatment prediction PDT platform","Rate of the successful establishment of pancreatic patient-derived tumoroids (PDT)|Drug sensitivity and response prediction of chemotherapy agents in PDT|Drug sensitivity and response prediction of radiation therapy in PDT|PDT validation with a comparative analysis of patients' response to neoadjuvant chemotherapy and radiation","Mayo Clinic","All","18 Years and older   (Adult, Older Adult)","Not Applicable","0","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","20-010804","January 1, 2022","December 31, 2023","December 31, 2023","March 29, 2021",,"February 24, 2022",,,"https://ClinicalTrials.gov/show/NCT04821219"
115,"NCT02910895","Sarcoma Patient Derived Xenografts","SarcomaPDX","Recruiting","No Results Available","Soft Tissue Sarcoma|Xenograft Model|2D/3D Cell Cultures","Other: tumor biopsy","A platform of Patient Derived Xenografts (PDX) of Soft Tissue Sarcomas of patients with sarcomas|The take-rate of fresh human PDX tumour material in nude mice.|A consistent system for further anti-sarcoma therapy (both RT and chemotherapy experiments)|A platform of 2D/3D cell cultures (organoids) of Soft Tissue Sarcomas.|A model for translational research|The passage possibilities of human PDX tumour material by freezing, storing, thawing and re-inoculating in nude mice|Fractionation sensitivity on several STS subtypes in PDX.|To study the passage possibilities of 2D/3D cell cultures by freezing, storing and thawing","The Netherlands Cancer Institute","All","18 Years and older   (Adult, Older Adult)","Not Applicable","40","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","N16STS|NL58626.031.16","September 9, 2017","September 2023","September 2023","September 22, 2016",,"October 7, 2022","Netherlands Cancer Institute, Amsterdam, Netherlands",,"https://ClinicalTrials.gov/show/NCT02910895"
116,"NCT05644743","Clinical Transformation of Organoid Model to Predict the Efficacy of GC in the Treatment of Intrahepatic Cholangiocarcinoma",,"Not yet recruiting","No Results Available","Organoids|Intrahepatic Cholangiocarcinoma","Device: gemcitabine + cisplatin","Consistency of organoids and clinical patient responses to drugs|Construction of drug resistance prediction model","Chengjun Sui,MD|Eastern Hepatobiliary Surgery Hospital","All","18 Years to 80 Years   (Adult, Older Adult)",,"40","Other","Observational","Observational Model: Other|Time Perspective: Prospective","202240313","January 2023","December 2025","December 2026","December 9, 2022",,"December 9, 2022",,,"https://ClinicalTrials.gov/show/NCT05644743"
117,"NCT05078866","Cancer Preventive Vaccine Nous-209 for Lynch Syndrome Patients",,"Recruiting","No Results Available","Lynch Syndrome","Biological: Adenoviral Tumor-specific Neoantigen Priming Vaccine GAd-209-FSP|Biological: MVA Tumor-specific Neoantigen Boosting Vaccine MVA-209-FSP|Other: Questionnaire Administration","Rates of grade 2/3 adverse events and symptom reactivity following vaccination|Rate of immunogenicity following vaccination|Changes in T cell immune profile and T cell receptor (TCR) repertoire in the peripheral blood|Changes in TCR repertoire within histologically normal colorectal mucosal|Changes in the gene expression profile and TCR repertoire of tumor infiltrating lymphocytes (TIL) within colorectal adenomas|T cell cytotoxicity against matched colorectal adenoma organoids|Percentage change in the number of colorectal adenomas, advanced neoplasia, and/or carcinomas|Rate of Lynch syndrome-related carcinomas|Change in cell free deoxyribonucleic acid (cfDNA) detectability and mutation profile in the peripheral blood|Immune response to Nous-209","National Cancer Institute (NCI)","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","45","NIH","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","NCI-2021-10799|2022-0065|MDA21-06-01|P30CA016672|UG1CA242609","September 19, 2022","July 31, 2025","July 31, 2025","October 15, 2021",,"November 23, 2022","City of Hope Comprehensive Cancer Center, Duarte, California, United States|Fox Chase Cancer Center, Philadelphia, Pennsylvania, United States|M D Anderson Cancer Center, Houston, Texas, United States|University of Puerto Rico, San Juan, Puerto Rico",,"https://ClinicalTrials.gov/show/NCT05078866"
118,"NCT04587128","Early-Line Anti-EGFR Therapy to Facilitate Retreatment for Select Patients With mCRC",,"Recruiting","No Results Available","Metastatic Colorectal Cancer","Drug: Panitumumab|Drug: Cetuximab|Drug: Irinotecan","Cohort A Objective Response Rate (ORR)|Cohort B Progression Free Survival (PFS)|Cohort A Progression Free Survival (PFS)|Cohort B Objective Response Rate (ORR)|Type and Severity of Toxicities|Rate of Retreatment with EGFRi|Overall Survival (OS)","University of Wisconsin, Madison|Doris Duke Charitable Foundation","All","18 Years and older   (Adult, Older Adult)","Phase 2","110","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","UW20038|A534260|SMPH/MEDICINE/HEM-ONC|Protocol Version 3/8/2021|2020-0714|NCI-2020-06543","October 19, 2020","October 2025","October 2025","October 14, 2020",,"September 15, 2022","University of Wisconsin Carbone Cancer Center, Madison, Wisconsin, United States",,"https://ClinicalTrials.gov/show/NCT04587128"
119,"NCT05727020","Volatile Organic Compound Assessment in Pancreatic Ductal Adenocarcinoma","VAPOR","Recruiting","No Results Available","PDAC - Pancreatic Ductal Adenocarcinoma|Pancreatic Cancer","Diagnostic Test: Breath test|Diagnostic Test: Collection of matched samples of breath, biofluids and pancreatic tissue","Levels of VOCs present in breath of subjects with PDAC and controls|Levels of volatile metabolites present in headspace of the urine of subjects with PDAC and controls|Characterisation of bacterial species in saliva samples, pancreatic tissue samples and duodenal aspirate samples of subjects with PDAC compared to controls|Levels of VOCs produced by the bacteria isolated from saliva samples, pancreatic tissue samples and duodenal aspirate samples of subjects with PDAC","Imperial College London|Pancreatic Cancer UK|Imperial College Healthcare NHS Trust|Royal Free Hospital NHS Foundation Trust|Liverpool University Hospitals NHS Foundation Trust|The Leeds Teaching Hospitals NHS Trust|Sheffield Teaching Hospitals NHS Foundation Trust|University Hospital Southampton NHS Foundation Trust|Royal Surrey County Hospital NHS Foundation Trust|University Hospital Birmingham NHS Foundation Trust|Manchester University NHS Foundation Trust|Newcastle-upon-Tyne Hospitals NHS Trust","All","18 Years and older   (Adult, Older Adult)",,"963","Other","Observational","Observational Model: Case-Control|Time Perspective: Cross-Sectional","22HH7787","December 15, 2022","July 2024","January 2025","February 14, 2023",,"February 14, 2023","Imperial College Healthcare NHS Trust, London, United Kingdom",,"https://ClinicalTrials.gov/show/NCT05727020"
120,"NCT03307538","Stereotactic Body Radiation Therapy for Unresectable Perihilar Cholangiocarcinoma","STRONG","Completed","No Results Available","Klatskin Tumor","Radiation: Stereotactic body radiation therapy","Acute toxicity|Quality of life|Local progression|Progression free survival|Overall survival|Cellular radiosensitivity","Erasmus Medical Center","All","18 Years and older   (Adult, Older Adult)","Not Applicable","6","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","NL 60588.078.17","November 6, 2017","March 30, 2020","June 30, 2020","October 11, 2017",,"January 26, 2021","Erasmus MC, Rotterdam, Zuid Holland, Netherlands",,"https://ClinicalTrials.gov/show/NCT03307538"
121,"NCT04622423","Advanced Therapies for Liver Metastases","LiMeT","Recruiting","No Results Available","Pancreatic Ductal Adenocarcinoma (PDAC)|Colorectal Cancer (CRC)|Liver Metastasis",,"Definition of tumor mutational burden, epigenetic and gene expression profile of the CRC and PDAC metastatic liver at bulk and at single cell level|Characterization of the immune landscapes of CRC and, if possible, PDAC liver MTS by high dimensional flow cytometry|Histological validation of the molecular results obtained in 1. and 2.|Definition of the antigenic landscape and TCR repertoire of CRC and PDAC liver MTS|Evaluation of the molecular and cellular composition of CRC and, if possible, PDAC liver MTS by spatial transcriptomics technologies (NICHE-seq and Visium)|Collection of clinical follow-up data|Collection and biobanking of follow-up samples from patients with CRC and metachronous PDAC MTS to the liver|Biobanking of biospecimens collected from CRC and PDAC patients and from healthy donors","IRCCS San Raffaele|Università Vita-Salute San Raffaele","All","18 Years and older   (Adult, Older Adult)",,"475","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","LiMeT|22737","November 6, 2019","June 30, 2026","June 30, 2026","November 10, 2020",,"August 10, 2022","IRCCS San Raffaele, Milan, Italy","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/23/NCT04622423/Prot_SAP_002.pdf","https://ClinicalTrials.gov/show/NCT04622423"
122,"NCT04951115","A Trial With Chemotherapy, Immunotherapy, and Radiotherapy for Patients With Newly Diagnosed Stage IV Small Cell Lung Cancer",,"Recruiting","No Results Available","Small-cell Lung Cancer","Drug: Carboplatin|Drug: Cisplatin|Drug: Etoposide|Drug: Durvalumab|Radiation: Stereotactic Body Radiotherapy","Number of toxicities Grade 3 or above related to therapy|Efficacy of multi-site, non-ablative radiation to standard systemic therapy for patients with extensive-stage small cell lung, as measured by a change in disease response|Objective response rate, determined by disease response rate defined by the RECIST 1.1 criteria|Overall survival, defined as the time from first study treatment to the time of death from any cause|Pattern of disease progression, defined by the progression in radiated lesions vs. non-radiated lesions and the rates of new lesions as determined by RECIST 1.1","Weill Medical College of Cornell University","All","18 Years and older   (Adult, Older Adult)","Phase 2","42","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","20-08022492","July 12, 2021","October 1, 2024","July 1, 2025","July 6, 2021",,"August 1, 2022","New York-Presbyterian Brooklyn Methodist Hospital, Brooklyn, New York, United States|New York-Presbyterian Queens, Flushing, New York, United States|Weill Cornell Medicine, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT04951115"
123,"NCT04868396","Patient-derived Glioma Stem Cell Organoids",,"Active, not recruiting","No Results Available","Glioblastoma","Procedure: Tumor biopsy","Organoid cultures|Long term culturing and biobanking conditions for GM organoids|Intra-organoid heterogeneity reflects intra-tumoral genetic and epigenetic heterogeneity|GM organoid model|Define oncogenic drivers|Organoid platform|ctDNA","Maastricht Radiation Oncology","All","18 Years and older   (Adult, Older Adult)",,"60","Other","Observational","Observational Model: Other|Time Perspective: Prospective","Glioma stem cell organoids","April 10, 2021","September 1, 2022","January 1, 2023","April 30, 2021",,"August 24, 2022","Maastricht UMC+, Maastricht, Limburg, Netherlands|Maastricht Radiation Oncology, Maastricht, Limburg, Netherlands",,"https://ClinicalTrials.gov/show/NCT04868396"
124,"NCT05634694","Study on Consistency Evaluation for Drug Sensitivity of Patient-Derived Organoid Model From Cholangiocarcinoma Patients",,"Recruiting","No Results Available","Cholangiocarcinoma","Other: No interventions.","Progression-free survival status of cholangiocarcinoma patients after radical resection|Drug sensitivity of patient-derived tumor organoids","Sun Yat-Sen Memorial Hospital of Sun Yat-Sen University","All","18 Years to 75 Years   (Adult, Older Adult)",,"40","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","SYSKY-2022-168-01","November 30, 2022","December 1, 2023","December 1, 2024","December 2, 2022",,"December 2, 2022","Sun Yat-sen Memorial Hospital, Sun Yat-sen University, Guangzhou, Guangdong, China",,"https://ClinicalTrials.gov/show/NCT05634694"
