ID,text_all,researched_tumor,tumor_organ,NT_organ,tumor_organ_adjusted
7364,"Integrin-specific hydrogels as adaptable tumor organoids for malignant B and T cells.; B cell and Hydrogels and Integrins and Lymphoma and Organoids and Panobinostat and T cell; Non-Hodgkin lymphomas are a heterogeneous group of lymphoproliferative disorders of B and T cell origin that are treated with chemotherapy drugs with variable success rate that has virtually not changed over decades. Although new classes of chemotherapy-free epigenetic and metabolic drugs have emerged, durable responses to these conventional and new therapies are achieved in a fraction of cancer patients, with many individuals experiencing resistance to the drugs. The paucity in our understanding of what regulates the drug resistance phenotype and establishing a predictive indicator is, in great part, due to the lack of adequate ex vivo lymphoma models to accurately study the effect of microenvironmental cues in which malignant B and T cell lymphoma cells arise and reside. Unlike many other tumors, lymphomas have been neglected from biomaterials-based microenvironment engineering standpoint. In this study, we demonstrate that B and T cell lymphomas have different pro-survival integrin signaling requirements (v3 and 41) and the presence of supporting follicular dendritic cells are critical for enhanced proliferation in three-dimensional (3D) microenvironments. We engineered adaptable 3D tumor organoids presenting adhesive peptides with distinct integrin specificities to B and T cell lymphoma cells that resulted in enhanced proliferation, clustering, and drug resistance to the chemotherapeutics and a new class of histone deacetylase inhibitor (HDACi), Panobinostat. In Diffuse Large B cell Lymphomas, the 3D microenvironment upregulated the expression level of B cell receptor (BCR), which supported the survival of B cell lymphomas through a tyrosine kinase Syk in the upstream BCR pathway. Our integrin specific ligand functionalized 3D organoids mimic a lymphoid neoplasm-like heterogeneous microenvironment that could, in the long term, change the understanding of the initiation and progression of hematological tumors, allow primary biospecimen analysis, provide prognostic values, and importantly, allow a faster and more rational screening and translation of therapeutic regimens.",lymphoid,lymphoid,,ok
7706,"A case of alveolar soft part sarcoma of the pleura; NA; Alveolar soft part sarcoma (ASPS) is a rare malignant soft-tissue neoplasm of unknown histogenesis. The two main sites of occurrence are the lower extremities in adults and the head and neck in children. We report the first case of pleural ASPS occurring in a 58-yr-old man who presented with progressive dyspnea. A computed tomographic scan of the thorax revealed a large enhancing pleural mass with pleural effusion in the left hemithorax. Wide excision of the pleural mass was performed. Histologically, the tumor consisted of organoid nests of large polygonal cells, the cytoplasm of which had eosinophilic and D-PAS positive granules. Immunohistochemical staining showed that the tumor cell nuclei were positive for transcription factor 3 (TFE3). The pleural ASPS with multiple bone metastases recurred 1 yr after surgery and the patient died of acute pulmonary embolism 1.5 yr after diagnosis. 2013 The Korean Academy of Medical Sciences.",pleura,pleura,,unidentified
7785,"Disease Modeling of Pituitary Adenoma Using Human Pluripotent Stem Cells.; ACTH-producing adenoma and CRISPR/Cas9 and GH-producing adenoma and GNAS and USP8 and organoid and pituitary tumor and pluripotent stem cell; Pituitary adenomas are characterized by abnormal growth in the pituitary gland. Surgical excision is the first-line treatment for functional (hormone-producing) pituitary adenomas, except for prolactin-producing adenomas; however, complete excision is technically challenging, and many patients require long-term medication after the treatment. In addition, the pathophysiology of pituitary adenomas, such as tumorigenesis, has not been fully understood. Pituitary adenoma pathophysiology has mainly been studied using animal models and animal tumor-derived cell lines. Nevertheless, experimental studies on human pituitary adenomas are difficult because of the significant differences among species and the lack of reliable cell lines. Recently, several methods have been established to differentiate pituitary cells from human pluripotent stem cells (hPSCs). The induced pituitary hormone-producing cells retain the physiological properties already lost in tumor-derived cell lines. Moreover, CRISPR/Cas9 systems have expedited the introduction of causative gene mutations in various malignant tumors into hPSCs. Therefore, hPSC-derived pituitary cells have great potential as a novel platform for studying the pathophysiology of human-specific pituitary adenomas and developing novel drugs. This review presents an overview of the recent progresses in hPSC applications for pituitary research, functional pituitary adenoma pathogenesis, and genome-editing techniques for introducing causative mutations. We also discuss future applications of hPSCs for studying pituitary adenomas.",pituitary,pituitary,,ok
7786,"Organoids as a Model for Precision Medicine in Malignant Pleural Mesothelioma: Where Are We Today?; drug screens and mesothelioma and organoids and precision medicine and tumor model; MPM is an aggressive tumor originating from pleural mesothelial cells. A characteristic feature of the disease is the dominant prevalence of therapeutically intractable inactivating alterations in TSGs, making MPM one of the most difficult cancers to treat and the epitome of a cancer characterized by a significant lack of therapy options and an extremely poor prognosis (5-year survival rate of only 5% to 10%). Extensive interpatient heterogeneity poses another major challenge for targeted therapy of MPM, warranting stratified therapy for specific subgroups of MPM patients. Accurate preclinical models are critical for the discovery of new therapies and the development of personalized medicine. Organoids, an in vitro 'organ-like' 3D structure derived from patient tumor tissue that faithfully mimics the biology and complex architecture of cancer and largely overcomes the limitations of other existing models, are the next-generation tumor model. Although organoids have been successfully produced and used in many cancers, the development of MPM organoids is still in its infancy. Here, we provide an overview of recent advances in cancer organoids, focusing on the progress and challenges in MPM organoid development. We also elaborate the potential of MPM organoids for understanding MPM pathobiology, discovering new therapeutic targets, and developing personalized treatments for MPM patients.",pleura,pleura,,ok
8237,"Use of preclinical models for malignant pleural mesothelioma.; asbestos induced lung disease and mesothelioma and pleural disease; Malignant pleural mesothelioma (MPM) is an aggressive cancer most commonly caused by prior exposure to asbestos. Median survival is 12-18 months, since surgery is ineffective and chemotherapy offers minimal benefit. Preclinical models that faithfully recapitulate the genomic and histopathological features of cancer are critical for the development of new treatments. The most commonly used models of MPM are two-dimensional cell lines established from primary tumours or pleural fluid. While these have provided some important insights into MPM biology, these cell models have significant limitations. In order to address some of these limitations, spheroids and microfluidic chips have more recently been used to investigate the role of the three-dimensional environment in MPM. Efforts have also been made to develop animal models of MPM, including asbestos-induced murine tumour models, MPM-prone genetically modified mice and patient-derived xenografts. Here, we discuss the available in vitro and in vivo models of MPM and highlight their strengths and limitations. We discuss how newer technologies, such as the tumour-derived organoids, might allow us to address the limitations of existing models and aid in the identification of effective treatments for this challenging-to-treat disease.",pleura,pleura,,ok
9103,"The Biology of Malignant Mesothelioma and the Relevance of Preclinical Models; NA; Malignant mesothelioma (MM), especially its more frequent form, malignant pleural mesothelioma (MPM), is a devastating thoracic cancer with limited therapeutic options. Recently, clinical trials that used immunotherapy strategies have yielded promising results, but the benefits are restricted to a limited number of patients. To develop new therapeutic strategies and define predictors of treatment response to existing therapy, better knowledge of the cellular and molecular mechanisms of MM tumors and sound preclinical models are needed. This review aims to provide an overview of our present knowledge and issues on both subjects. MM shows a complex pattern of molecular changes, including genetic, chromosomic, and epigenetic alterations. MM is also a heterogeneous cancer. The recently described molecular classifications for MPM could better consider inter-tumor heterogeneity, while histo-molecular gradients are an interesting way to consider both intra- and inter-tumor heterogeneities. Classical preclinical models are based on use of MM cell lines in culture or implanted in rodents, i.e., xenografts in immunosuppressed mice or isografts in syngeneic rodents to assess the anti-tumor immune response. Recent developments are tumoroids, patient-derived xenografts (PDX), xenografts in humanized mice, and genetically modified mice (GEM) that carry mutations identified in human MM tumor cells. Multicellular tumor spheroids are an interesting in vitro model to reduce animal experimentation; they are more accessible than tumoroids. They could be relevant, especially if they are co-cultured with stromal and immune cells to partially reproduce the human microenvironment. Even if preclinical models have allowed for major advances, they show several limitations: (i) the anatomical and biological tumor microenvironments are incompletely reproduced; (ii) the intra-tumor heterogeneity and immunological contexts are not fully reconstructed; and (iii) the inter-tumor heterogeneity is insufficiently considered. Given that these limitations vary according to the models, preclinical models must be carefully selected depending on the objectives of the experiments. New approaches, such as organ-on-a-chip technologies or in silico biological systems, should be explored in MM research. More pertinent cell models, based on our knowledge on mesothelial carcinogenesis and considering MM heterogeneity, need to be developed. These endeavors are mandatory to implement efficient precision medicine for MM. ",pleura,pleura,,ok
9323,"Unraveling Heterogeneity in Epithelial Cell Fates of the Mammary Gland and Breast Cancer.; 3D cultures and breast cancer and cell fate and heterogeneity and mammary gland and organoids and signaling and single-cell RNAseq; Fluidity in cell fate or heterogeneity in cell identity is an interesting cell biological phenomenon, which at the same time poses a significant obstacle for cancer therapy. The mammary gland seems a relatively straightforward organ with stromal cells and basal- and luminal- epithelial cell types. In reality, the epithelial cell fates are much more complex and heterogeneous, which is the topic of this review. Part of the complexity comes from the dynamic nature of this organ: the primitive epithelial tree undergoes extensively remodeling and expansion during puberty, pregnancy, and lactation and, unlike most other organs, the bulk of mammary gland development occurs late, during puberty. An active cell biological debate has focused on lineage commitment to basal- and luminal- epithelial cell fates by epithelial progenitor and stem cells; processes that are also relevant to cancer biology. In this review, we discuss the current understanding of heterogeneity in mammary gland and recent insights obtained through lineage tracing, signaling assays, and organoid cultures. Lastly, we relate these insights to cancer and ongoing efforts to resolve heterogeneity in breast cancer with single-cell RNAseq approaches.",mammary gland,mammary gland,,mammary
9600,"Emerging Opportunities for Target Discovery in Rare Cancers.; CRISPR/Cas9 and chordoma and conditionally reprogrammed cells and genomics and next-generation sequencing and organoid and patient-derived xenograft and rare cancer and small-molecule screen and target discovery; Rare cancers pose unique challenges to research due to their low incidence. Barriers include a scarcity of tissue and experimental models to enable basic research and insufficient patient accrual for clinical studies. Consequently, an understanding of the genetic and cellular features of many rare cancer types and their associated vulnerabilities has been lacking. However, new opportunities are emerging to facilitate discovery of therapeutic targets in rare cancers. Online platforms are allowing patients with rare cancers to organize on an unprecedented scale, tumor genome sequencing is now routinely performed in research and clinical settings, and the efficiency of patient-derived model generation has improved. New CRISPR/Cas9 and small-molecule libraries permit cancer dependency discovery in a rapid and systematic fashion. In parallel, large-scale studies of common cancers now provide reference datasets to help interpret rare cancer profiling data. Together, these advances motivate consideration of new research frameworks to accelerate rare cancer target discovery.",spine,spine,,ok
10255,"Hyperthyroidism as a clinical manifestation of a embryonal carcinoma of the testis.; NA; This case report describes a case of hyperthyroidism as manifestation of an embryonal carcinoma, and illustrates the causes that led to it. The case describes a 33-year-old male patient who complained of chest pain, palpitations, mild dyspnoea, and weight loss. Blood analysis reveals high levels of human chorionic gonadotropin (833818 mlU/ml), T3 (16.90 pg/ml), and T4 (7.77 ng/dl), as well as a fall of TSH (0.01 ulU/ml). Physical examination and imaging procedures confirm the occurrence of a left testicular tumour associated with numerous lung, hepatic and retroperitoneal metastases. Treatment with carbimazol and propanolol is established to manage hyperthyroidism, and an urgent orchiectomy is performed; the histologic diagnosis confirms an embryonal carcinoma (organoid type), but the patient died unexpectedly 24 hours later after having suffered sudden dyspnoea, tachypnoea, and tachyarrhythmia. Hyperthyroidism is a rare manifestation of a testicular tumour that should be borne in mind with regard to the patient's symptomatology and HCG levels.",testes,testes,,unidentified
10283,"Unraveled roles of Cav1.2 in proliferation and stemness of ameloblastoma.; Ameloblastoma and Calcium signaling and Cav1.2 and Proliferation and Stemness; BACKGROUND: Transcriptome analysis has been known as a functional tool for cancer research recently. Mounting evidence indicated that calcium signaling plays several key roles in cancer progression. Despite numerous studies examining calcium signaling in cancer, calcium signaling studies in ameloblastoma are limited. RESULTS: In the present study, comparative transcriptome profiling of two representative odontogenic lesions, ameloblastoma and odontogenic keratocyst, revealed that Cav1.2 (CACNA1C, an L-type voltage-gated calcium channel) is strongly enriched in ameloblastoma. It was confirmed that the Ca(2+) influx in ameloblastoma cells is mainly mediated by Cav1.2 through L-type voltage-gated calcium channel agonist and blocking reagent treatment. Overexpression and knockdown of Cav1.2 showed that Cav1.2 is directly involved in the regulation of the nuclear translocation of nuclear factor of activated T cell 1 (NFATc1), which causes cell proliferation. Furthermore, a tumoroid study indicated that Cav1.2-dependent Ca(2+) entry is also associated with the maintenance of stemness of ameloblastoma cells via the enhancement of Wnt/-catenin signaling activity. CONCLUSION: In conclusion, Cav1.2 regulates the NFATc1 nuclear translocation to enhance ameloblastoma cell proliferation. Furthermore, Cav1.2 dependent Ca(2+) influx contributes to the Wnt/-catenin activity for the ameloblastoma cell stemness and tumorigenicity. Our fundamental findings could have a major impact in the fields of oral maxillofacial surgery, and genetic manipulation or pharmacological approaches to Cav1.2 can be considered as new therapeutic options.",tooth,tooth,,ok
10506,"A Cancer-Selective Zinc Ionophore Inspired by the Natural Product Naamidine A.; NA; We present data demonstrating the natural product mimic, zinaamidole A (ZNA), is a modulator of metal ion homeostasis causing cancer-selective cell death by specifically inducing cellular Zn(2+)-uptake in transformed cells. ZNA's cancer selectivity was evaluated using metastatic, patient-derived breast cancer cells, established human breast cancer cell lines, and three-dimensional organoid models derived from normal and transformed mouse mammary glands. Structural analysis of ZNA demonstrated that the compound interacts with zinc through the N(2)-acyl-2-aminoimidazole core. Combination treatment with ZnSO(4) strongly potentiated ZNA's cancer-specific cell death mechanism, an effect that was not observed with other transition metals. We show that Zn(2+)-dyshomeostasis induced by ZNA is unique and markedly more selective than other known Zn(2+)-interacting compounds such as clioquinol. The in vivo bioactivity of ZNA was also assessed and revealed that tumor-bearing mice treated with ZNA had improved survival outcomes. Collectively, these data demonstrate that the N(2)-acyl-2-aminoimidazole core of ZNA represents a powerful chemotype to induce cell death in cancer cells concurrently with a disruption in zinc homeostasis.",mammary,mammary gland,,ok
10889,"Application and research progress of organoids in cholangiocarcinoma and gallbladder carcinoma.; Cholangiocarcinoma and biliary tract carcinomas and gallbladder carcinoma and organoids; Both cholangiocarcinoma (CCA) and gallbladder carcinoma (GBC) are belong to biliary tract carcinomas (BTCs) with a high degree of malignancy and a poor prognosis. Therefore, an in vitro model is urgently needed to increase our understanding of the pathogenesis of BTCs. Tumor organoids are a novel three-dimensional (3D) culture technology that utilizes samples from removed tumors. Therefore, it can maintain the histological features, expression profiles and marker expression of the parental tissues. Recently, with the widespread use of this technique, increasing research is beginning to use organoid to study the cellular metabolism, pathogenesis, chemotherapy resistance, and new therapy methods of BTCs. In this review, we will discuss the advantages and disadvantages of BTC organoids compared with other cell culture techniques. In addition, the construction methods, research directions and current limitations of BTC organoids will be described.",bile duct,bile duct,,ok
10889,"Application and research progress of organoids in cholangiocarcinoma and gallbladder carcinoma.; Cholangiocarcinoma and biliary tract carcinomas and gallbladder carcinoma and organoids; Both cholangiocarcinoma (CCA) and gallbladder carcinoma (GBC) are belong to biliary tract carcinomas (BTCs) with a high degree of malignancy and a poor prognosis. Therefore, an in vitro model is urgently needed to increase our understanding of the pathogenesis of BTCs. Tumor organoids are a novel three-dimensional (3D) culture technology that utilizes samples from removed tumors. Therefore, it can maintain the histological features, expression profiles and marker expression of the parental tissues. Recently, with the widespread use of this technique, increasing research is beginning to use organoid to study the cellular metabolism, pathogenesis, chemotherapy resistance, and new therapy methods of BTCs. In this review, we will discuss the advantages and disadvantages of BTC organoids compared with other cell culture techniques. In addition, the construction methods, research directions and current limitations of BTC organoids will be described.",gallbladder,bile duct,,ok
10889,"Application and research progress of organoids in cholangiocarcinoma and gallbladder carcinoma.; Cholangiocarcinoma and biliary tract carcinomas and gallbladder carcinoma and organoids; Both cholangiocarcinoma (CCA) and gallbladder carcinoma (GBC) are belong to biliary tract carcinomas (BTCs) with a high degree of malignancy and a poor prognosis. Therefore, an in vitro model is urgently needed to increase our understanding of the pathogenesis of BTCs. Tumor organoids are a novel three-dimensional (3D) culture technology that utilizes samples from removed tumors. Therefore, it can maintain the histological features, expression profiles and marker expression of the parental tissues. Recently, with the widespread use of this technique, increasing research is beginning to use organoid to study the cellular metabolism, pathogenesis, chemotherapy resistance, and new therapy methods of BTCs. In this review, we will discuss the advantages and disadvantages of BTC organoids compared with other cell culture techniques. In addition, the construction methods, research directions and current limitations of BTC organoids will be described.",bile duct,gallbladder,,ok
10889,"Application and research progress of organoids in cholangiocarcinoma and gallbladder carcinoma.; Cholangiocarcinoma and biliary tract carcinomas and gallbladder carcinoma and organoids; Both cholangiocarcinoma (CCA) and gallbladder carcinoma (GBC) are belong to biliary tract carcinomas (BTCs) with a high degree of malignancy and a poor prognosis. Therefore, an in vitro model is urgently needed to increase our understanding of the pathogenesis of BTCs. Tumor organoids are a novel three-dimensional (3D) culture technology that utilizes samples from removed tumors. Therefore, it can maintain the histological features, expression profiles and marker expression of the parental tissues. Recently, with the widespread use of this technique, increasing research is beginning to use organoid to study the cellular metabolism, pathogenesis, chemotherapy resistance, and new therapy methods of BTCs. In this review, we will discuss the advantages and disadvantages of BTC organoids compared with other cell culture techniques. In addition, the construction methods, research directions and current limitations of BTC organoids will be described.",gallbladder,gallbladder,,ok
11209,"""Pure"" primary large cell neuroendocrine carcinoma of the urinary bladder: case report, literature review and diagnostic criteria.; NA; INTRODUCTION: Large cell neuroendocrine carcinoma (LCNC) is defined in the urinary bladder, as in other sites, as a high-grade neoplasm exhibiting neuroendocrine features at the H&E level, high mitotic activity and evidence of neuroendocrine differentiation by immunohistochemistry. We report a case of pure bladder LCNC with review of the literature. METHODS: A 68-year-old male presented with gross haematuria of two weeks' duration in October 2011. Transurethral resection and subsequently radical cystoprostatectomy (CP) with bilateral lymphadenectomy (L) were performed in December 2012. RESULTS: Urinary cytology identified malignant cells. Histologically, the tumour showed organoid nesting, trabecular growth, rosettes and perilobular palisading patterns, suggesting neuroendocrine differentiation. Immunohistochemical staining showed intense positivity for CD56. DISCUSSION: We examined all published pure bladder LCNC (12 cases) excluding mixed neoplasms. Small cell carcinoma of the urinary bladder pure LCNC of the bladder is a very aggressive malignancy, unresponsive to therapy, presents in an advanced stage and has a propensity for early metastasis. Prior to the advent of immunohistochemistry, such cases would most likely have been categorised as poorly differentiated, high-grade urothelial carcinomas.",urinary,urinary,neuroendocrine,unidentified
11390,"Subpopulations of organoid-forming cells have different motility; Cancer stem cells;  Digital holography;  Organoid formation;  Oropharyngeal squamous-cell carcinoma; Cancer stem cells from oropharyngeal squamous cell carcinoma (OPSCC) have the ability to self-renew and differentiate into heterogeneous three-dimensional structures carrying features of tumor cells. Here, we describe a simple and label-free method for generating tumor organoids, and imaging them using live digital holographic microscopy (DHM) on the basis of the phase shift caused by light passing through the cells. We show early events of cell aggregation during tumor-organoid formation, and display their heterogeneity in terms of optical parameters up to an optical volume of 105 m3. Lastly, by sorting OPSCC epithelial cells, we demonstrate that CD44+ cells displayed greater motility and tumor-forming capacity than those of CD44- cells. These results were in line with previous reports highlighting increased invasive and tumorigenic potential in tumor cells expressing high levels of CD44. Our method provides insight into the formation of tumor organoids, and could be used to assess stemness-associated biomarkers and drug screenings on the basis of tumor organoids.  2020 by the authors.",,oropharynx,,ok
11390,"Subpopulations of organoid-forming cells have different motility; Cancer stem cells;  Digital holography;  Organoid formation;  Oropharyngeal squamous-cell carcinoma; Cancer stem cells from oropharyngeal squamous cell carcinoma (OPSCC) have the ability to self-renew and differentiate into heterogeneous three-dimensional structures carrying features of tumor cells. Here, we describe a simple and label-free method for generating tumor organoids, and imaging them using live digital holographic microscopy (DHM) on the basis of the phase shift caused by light passing through the cells. We show early events of cell aggregation during tumor-organoid formation, and display their heterogeneity in terms of optical parameters up to an optical volume of 105 m3. Lastly, by sorting OPSCC epithelial cells, we demonstrate that CD44+ cells displayed greater motility and tumor-forming capacity than those of CD44- cells. These results were in line with previous reports highlighting increased invasive and tumorigenic potential in tumor cells expressing high levels of CD44. Our method provides insight into the formation of tumor organoids, and could be used to assess stemness-associated biomarkers and drug screenings on the basis of tumor organoids.  2020 by the authors.",,,respiratory,ok
11414,"Cell-based diagnostic of bronchial carcinoma: Case study of a diagnostic value of tests of circulating tumor cells and organoid culture; NA; Diagnostic based on analysis of living tumor cells is frequently used in oncology. Circulating tumor cells in the blood and cells obtained from a tumor biopsy are used to access their carcinogenic properties and subsequently to predict possible development of the disease. Here we report use of these two tests to assess aggressiveness and metastatic potential of a bronchial adenocarcinoma. The circulating tumor cells test was negative, no circulating cells was observed. It indicates that there was no metastatic spread. However, test with the surgery biopsy showed presence of aggressive cellular clones. The tumor cells from the biopsy proliferated and spread from the cultured tissue. Moreover, the tumor cells formed colonies of cells which lost contact inhibition. This is an indication of aggressive carcinogenic features of the cells in tumor organoids. Combination of both tests showed that the local tumor had an aggressive phenotype, but no detectable spreading of cells. Therefore, these tests support a management plan with removal the primary tumor and regular monitoring, without need of an extensive chemotherapy.  Nazariy Souchelnytskyi, Andriy Kost, Serhiy Souchelnytskyi, 2020",bronchus,bronchus,,ok
11427,"A thymoma or not a thymoma-that is the question: a case report; Case report;  Immunohistochemistry;  Thymolipoma;  Thymoma; Thymomas are malignant, epithelial tumors of the thymus of diverse morphology that may metastasize or relapse after resection. The WHO histological classification includes five main subtypes A, AB, B1, B2 and B3. Types A and AB usually harbour a specific GTF2I gene mutation. Thymolipomas are very rare, benign tumors composed of thymic parenchyma and adipose tissue. We present the case of a 37-year-old male with an incidentally found mediastinal tumor that shared morphological features of a thymoma of unknown histological type and a thymolipoma-like tumor. Microscopically the tumor contained three components: (I) a highly organoid component that reproduced the thymic parenchyma with numerous Hassall corpuscles; (II) a lymphocyte-poor, epithelial component; (III) mature adipose tissue. A wide panel of immunohistochemical tests was used, but the results were not decisive for differential diagnosis. Genetic analysis of GTF2I, BRAF and NRAS genes revealed no mutations. The tumor was completely resected. The patient did not receive adjuvant radiotherapy. A 1.5 years after resection there was no evidence of tumor recurrence. Based on our case we carefully analyse and compare the microscopic features of thymoma vs. thymolipoma. The differentiation between these tumors is crucial due to their distinct clinical course and required therapeutic approach.  Mediastinum. All rights reserved.",thymus,thymus,,unidentified
11427,"A thymoma or not a thymoma-that is the question: a case report; Case report;  Immunohistochemistry;  Thymolipoma;  Thymoma; Thymomas are malignant, epithelial tumors of the thymus of diverse morphology that may metastasize or relapse after resection. The WHO histological classification includes five main subtypes A, AB, B1, B2 and B3. Types A and AB usually harbour a specific GTF2I gene mutation. Thymolipomas are very rare, benign tumors composed of thymic parenchyma and adipose tissue. We present the case of a 37-year-old male with an incidentally found mediastinal tumor that shared morphological features of a thymoma of unknown histological type and a thymolipoma-like tumor. Microscopically the tumor contained three components: (I) a highly organoid component that reproduced the thymic parenchyma with numerous Hassall corpuscles; (II) a lymphocyte-poor, epithelial component; (III) mature adipose tissue. A wide panel of immunohistochemical tests was used, but the results were not decisive for differential diagnosis. Genetic analysis of GTF2I, BRAF and NRAS genes revealed no mutations. The tumor was completely resected. The patient did not receive adjuvant radiotherapy. A 1.5 years after resection there was no evidence of tumor recurrence. Based on our case we carefully analyse and compare the microscopic features of thymoma vs. thymolipoma. The differentiation between these tumors is crucial due to their distinct clinical course and required therapeutic approach.  Mediastinum. All rights reserved.",thymus,,adipose,unidentified
11549,"Plasmacytoid myoepithelioma: Diagnostic algorithm and a tailored therapeutic protocol for a geriatric individual; NA; Plasmacytoid myoepithelioma (PM) is an exceedingly rare tumour, which often arises in the minor salivary glands. An 81-year-old male presenting with a massive growth occupying the entire palatal vault was operated by facial translocation approach. Histologically, a well-encapsulated tumour composed of numerous plasmacytoid myoepithelial cells arranged in an organoid pattern could be elicited. Diffuse immunoreactivity to pan-cytokeratin and glial fibrillar acidic protein pointed to a myoepithelial origin of the tumour, and low labelling index of Ki-67 indicated its benign nature. A conservative surgical procedure bearing in mind the age of the patient and ruling out other closely mimicking salivary gland tumours by immunohistochemistry highlights the importance of a tailored surgicopathological approach in geriatric patients to reduce post-operative morbidity.  2015 Asian AOMS, ASOMP, JSOP, JSOMS, JSOM, and JAMI.",salivary gland,salivary gland,,unidentified
11559,"A rare thymoma type presenting as a giant intrathoracic tumor: Lipofibroadenoma [Dev intratorasik tmr olarak grlen nadir bir timoma tipi: Lipofibroadenoma]; Lipofibroadenoma;  Mediastinum;  Thymoma; Type B1 thymoma (lipofibroadenoma) is extremely rare. The tumor is characterized by an organoid appearance rich in lymphocytes with medullary differentiation and perivascular spaces. A twenty-three- year-old female patient was admitted to our clinic with complaints of chest pain and dyspnea for six months. Chest computed tomogra- phy showed solid and fatty components of masses 217 and 57 cm with clear borders in the right thoracic cavity. The patient underwent a posterolateral thoracotomy in which the mass, arising from the anterior mediastinum, was resected. Histopathological examination showed that the mass was Type B1 thymoma, and the patient was presented in light of the literature.",thymus,thymus,,unidentified
12402,"Micronodular thymoma with lymphoid stroma: report of two cases and review of literature; Thymic neoplasms; micronodular thymoma with lymphoid stroma; clinical pathology; immunohistochemistry; prognosis; Micronodular thymoma with lymphoid stroma (MNT) is a rare subtype of organoid thymic epithelial tumor that occurs in middle-aged and elderly people. Histologically, MNT is characterized by multiple epithelial nodules that are scattered or fused and abundant lymphocyte stroma with prominent germinal centers. It has a benign course and a good prognosis, and its diagnosis mainly depends on histopathologic and immunohistochemical markers. This article reports two cases of MNT to explore its clinicopathologic features, diagnosis and differential diagnosis to improve understanding of this subtype. In addition, we review previously reported cases of MNT.",thymus,thymus,,unidentified
12815,"A reductionist metastasis-on-a-chip platform for in vitro tumor progression modeling and drug screening.; cancer and diagnostics and hydrogel and in vitro models and organs-on-a-chip; Current animal and 2-D cell culture models employed in metastasis research and drug discovery remain poor mimics of human cancer physiology. Here we describe a ""metastasis-on-a-chip"" system allowing real time tracking of fluorescent colon cancer cells migrating from hydrogel-fabricated gut constructs to downstream liver constructs within a circulatory fluidic device system that responds to environmental manipulation and drug treatment. Devices consist of two chambers in which gut and liver constructs are housed independently, but are connected in series via circulating fluid flow. Constructs were biofabricated with a hyaluronic acid-based hydrogel system, capable of a variety of customizations, inside of which representative host tissue cells were suspended and metastatic colon carcinoma tumor foci were created. The host tissue of the constructs expressed normal epithelial markers, which the tumor foci failed to express. Instead, tumor regions lost membrane-bound adhesion markers, and expressed mesenchymal and proliferative markers, suggesting a metastatic phenotype. Metastatic tumor foci grew in size, eventually disseminating from the intestine construct and entering circulation, subsequently reaching in the liver construct, thus mimicking some of the migratory events observed during metastasis. Lastly, we demonstrated the ability to manipulate the system, including chemically modulating the hydrogel system mechanical properties and administering chemotherapeutic agents, and evaluated the effects of these parameters on invasive tumor migration. These results describe the capability of this early stage metastasis-on-a-chip system to model several important characteristics of human metastasis, thereby demonstrating the potential of the platform for making meaningful advances in cancer investigation and drug discovery. Biotechnol. Bioeng. 2016;113: 2020-2032.  2016 Wiley Periodicals, Inc.",colon,colon,,ok
12815,"A reductionist metastasis-on-a-chip platform for in vitro tumor progression modeling and drug screening.; cancer and diagnostics and hydrogel and in vitro models and organs-on-a-chip; Current animal and 2-D cell culture models employed in metastasis research and drug discovery remain poor mimics of human cancer physiology. Here we describe a ""metastasis-on-a-chip"" system allowing real time tracking of fluorescent colon cancer cells migrating from hydrogel-fabricated gut constructs to downstream liver constructs within a circulatory fluidic device system that responds to environmental manipulation and drug treatment. Devices consist of two chambers in which gut and liver constructs are housed independently, but are connected in series via circulating fluid flow. Constructs were biofabricated with a hyaluronic acid-based hydrogel system, capable of a variety of customizations, inside of which representative host tissue cells were suspended and metastatic colon carcinoma tumor foci were created. The host tissue of the constructs expressed normal epithelial markers, which the tumor foci failed to express. Instead, tumor regions lost membrane-bound adhesion markers, and expressed mesenchymal and proliferative markers, suggesting a metastatic phenotype. Metastatic tumor foci grew in size, eventually disseminating from the intestine construct and entering circulation, subsequently reaching in the liver construct, thus mimicking some of the migratory events observed during metastasis. Lastly, we demonstrated the ability to manipulate the system, including chemically modulating the hydrogel system mechanical properties and administering chemotherapeutic agents, and evaluated the effects of these parameters on invasive tumor migration. These results describe the capability of this early stage metastasis-on-a-chip system to model several important characteristics of human metastasis, thereby demonstrating the potential of the platform for making meaningful advances in cancer investigation and drug discovery. Biotechnol. Bioeng. 2016;113: 2020-2032.  2016 Wiley Periodicals, Inc.",colon,,liver,ok
